FIPS,Year,Urban,Total_Population,P_WH,P_AA,P_AI,P_AS,P_NH,P_OR,P_2R,P_Latino,P_Native,P_FB,P_Citizen,P_Noncitizen,P_NoSchool,P_HS_No_Degree,P_HS_or_GED,P_Some_College,P_College_Degree,P_Masters_Prof_Doc,P_Other,P_Limited_Eng,Poverty_Rate,MED_HH_Income,UE_Rate,P_UI,P_Insured,P_UI_Under_18,P_UI_18-64,P_UI_65_Over,P_Any_Private_Ins,P_Any_Public_Ins,P_Medicare_Alone,P_Medicaid_Alone,Resp_HI,Low_Access,Park_Distance,Walkscore,Walkscore_Percentile,Tob_Retailer_Per_1000,Felony_Per_1000,GINI,SVI_Themes_Total,SVI_Flags,Housing_Violations_Per_1000,Voter Turnout,Turnout Quartile
36005008300,2016,1,5974,0.1,0.3,0.0,0.0,0.0,0.55,0.04,0.82,0.7,0.3,0.83,0.17,0.07,0.03,0.26,0.16,0.1,0.02,0.35,0.39,0.45,19409,0.17,0.11,0.89,0.01,0.18,0.00,0.26,0.68,0.02,0.54,3.498,0,1.125839251,1.9334,4,2,9,0.495,0.9637,9,451,0.18,1
36005008400,2016,1,2447,0.15,0.39,0.02,0.01,0.0,0.4,0.02,0.62,0.73,0.27,0.9,0.1,0.02,0.04,0.29,0.21,0.23,0.06,0.15,0.09,0.11,52234,0.10,0.15,0.85,0.15,0.17,0.02,0.61,0.33,0.08,0.15,3.086,0,0.990709552,-2.9061,1,0,5,0.4338,0.6227,1,59,0.2,1
36005008500,2016,1,6324,0.12,0.22,0.0,0.01,0.0,0.63,0.02,0.79,0.63,0.37,0.74,0.26,0.06,0.04,0.2,0.18,0.13,0.03,0.36,0.24,0.39,24583,0.14,0.23,0.77,0.05,0.33,0.00,0.29,0.52,0.02,0.39,3.414,0,1.315972422,2.1677,5,1,13,0.4925,0.9992,7,256,0.19,1
36005008600,2016,1,3916,0.29,0.31,0.0,0.03,0.0,0.33,0.03,0.69,0.83,0.17,0.92,0.08,0.05,0.06,0.34,0.15,0.13,0.02,0.25,0.20,0.44,21313,0.12,0.17,0.83,0.01,0.26,0.00,0.35,0.60,0.05,0.38,3.091,0,1.124356618,-2.1995,2,2,16,0.4803,0.9433,7,15,0.2,1
36005008700,2016,1,6406,0.15,0.24,0.0,0.0,0.0,0.59,0.02,0.78,0.63,0.37,0.75,0.25,0.08,0.02,0.22,0.17,0.14,0.01,0.35,0.26,0.33,28875,0.09,0.22,0.78,0.09,0.30,0.00,0.31,0.52,0.02,0.39,3.332,0,1.299556995,2.2128,5,1,16,0.4703,0.9798,7,733,0.19,1
36005008900,2016,1,3540,0.18,0.24,0.01,0.0,0.0,0.49,0.08,0.8,0.71,0.29,0.8,0.2,0.08,0.04,0.24,0.1,0.08,0.01,0.44,0.36,0.48,19210,0.17,0.19,0.81,0.05,0.31,0.00,0.17,0.69,0.01,0.52,3.488,0,1.301688048,1.8102,4,2,24,0.4614,0.9928,11,256,0.19,1
36005009000,2016,1,3824,0.35,0.36,0.0,0.04,0.0,0.24,0.02,0.65,0.79,0.21,0.93,0.07,0.03,0.02,0.32,0.23,0.14,0.03,0.19,0.14,0.37,27802,0.13,0.10,0.90,0.00,0.15,0.05,0.52,0.46,0.04,0.29,2.755,0,,-1.444,2,0,24,0.595,0.8835,2,98,0.2,1
36005009200,2016,1,5397,0.17,0.14,0.0,0.15,0.0,0.51,0.04,0.64,0.64,0.36,0.8,0.2,0.02,0.03,0.27,0.18,0.21,0.05,0.23,0.17,0.24,42708,0.15,0.12,0.88,0.00,0.17,0.00,0.49,0.47,0.03,0.35,3.384,0,1.794718408,0.3296,3,2,12,0.4815,0.8705,2,175,0.2,1
36005009300,2016,1,6265,0.24,0.29,0.0,0.0,0.0,0.44,0.03,0.72,0.69,0.31,0.8,0.2,0.06,0.06,0.27,0.17,0.16,0.02,0.26,0.27,0.37,30483,0.12,0.19,0.81,0.02,0.27,0.17,0.28,0.60,0.03,0.46,3.13,1,,-0.2643,3,1,27,0.4246,0.9674,7,600,0.19,1
36005009600,2016,1,2557,0.15,0.19,0.0,0.18,0.0,0.45,0.04,0.59,0.65,0.35,0.83,0.17,0.04,0.02,0.2,0.18,0.23,0.05,0.26,0.15,0.19,41156,0.22,0.12,0.89,0.04,0.16,0.03,0.45,0.54,0.01,0.36,3.066,0,,0.8614,4,5,15,0.4342,0.9946,4,196,0.2,1
36005009800,2016,1,4922,0.34,0.3,0.0,0.03,0.0,0.3,0.03,0.69,0.81,0.19,0.92,0.08,0.04,0.01,0.35,0.2,0.22,0.04,0.13,0.07,0.21,54974,0.12,0.08,0.92,0.05,0.11,0.00,0.60,0.43,0.04,0.24,3.465,0,1.361484882,-1.3419,2,0,11,0.4188,0.8218,0,77,0.2,1
36005011000,2016,1,205,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.71,0.29,0.85,0.15,0.0,0.0,0.34,0.39,0.18,0.0,0.1,0.00,0.15,46573,0.08,0.46,0.54,,0.46,,0.41,0.22,0.00,0.14,2.878,1,0.951561559,-2.7639,2,0,43,0.3628,0.1192,1,,0.29,3
36005011502,2016,1,4446,0.25,0.37,0.0,0.01,0.01,0.31,0.04,0.69,0.75,0.25,0.82,0.18,0.02,0.01,0.28,0.14,0.19,0.02,0.33,0.29,0.49,21311,0.24,0.15,0.85,0.03,0.23,0.05,0.35,0.63,0.02,0.43,3.453,0,1.103369741,0.493,4,2,24,0.438,0.9981,12,508,0.19,1
36005011700,2016,1,1512,0.27,0.34,0.0,0.01,0.0,0.35,0.03,0.7,0.85,0.15,0.91,0.09,0.03,0.01,0.31,0.18,0.22,0.01,0.23,0.10,0.36,24861,0.19,0.18,0.82,0.00,0.28,0.00,0.38,0.53,0.04,0.38,3.09,0,,-2.387,2,1,35,0.521,0.9237,6,646,0.19,1
